"id","locationID","locality","countrCode","occurrenceStatus","eventDate","datasetID"
"PB:Ugent:AqE:2904","ISO_3166-2:BE-VLG","Flandres","BE","present","2009","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:2905","ISO_3166-2:BE-VLG","Flandres","BE","present","2009","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:2906","ISO_3166-2:BE-VLG","Flandres","BE","present","2011-03-14","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1855","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-06-24","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1860","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-12","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1862","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-12-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1861","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-09-28","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1858","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-07-22","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1848","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-04-16","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1859","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-08-12","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1856","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-07-01","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1853","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-06-17","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1760","ISO_3166-2:BE-VLG","Flandres","BE","present","2002","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1761","ISO_3166-2:BE-VLG","Flandres","BE","present","2004","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1763","ISO_3166-2:BE-VLG","Flandres","BE","present","2004","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1764","ISO_3166-2:BE-VLG","Flandres","BE","present","2004","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:1864","ISO_3166-2:BE-VLG","Flandres","BE","present","2009-01-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:419","ISO_3166-2:BE-VLG","Flandres","BE","present","2000-06-09","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:423","ISO_3166-2:BE-VLG","Flandres","BE","present","2001-11-29","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:422","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-11-13","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:421","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-05-20","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:420","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-06-01","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:259","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-03-24","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:245","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-07-23","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:244","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-07-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:246","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-09-22","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:345","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-09-05","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:346","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-10-30","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:347","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-10-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:394","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-10-19","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:395","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-05-24","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:392","ISO_3166-2:BE-VLG","Flandres","BE","present","2001-06-15","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:400","ISO_3166-2:BE-VLG","Flandres","BE","present","2002-10-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:408","ISO_3166-2:BE-VLG","Flandres","BE","present","2004-07-30","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:432","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-08-03","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:292","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-07-30","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:293","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-07-19","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:320","ISO_3166-2:BE-VLG","Flandres","BE","present","2007-10-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:364","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-08-29","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:367","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-13","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:366","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-10-15","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:365","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-10-06","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:369","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-10-12","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:375","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-09-11","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:376","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-10-12","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:377","ISO_3166-2:BE-VLG","Flandres","BE","present","2006-09-28","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:382","ISO_3166-2:BE-VLG","Flandres","BE","present","2007-08-21","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:383","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-18","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:343","ISO_3166-2:BE-VLG","Flandres","BE","present","2003-06-04","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
"PB:Ugent:AqE:242","ISO_3166-2:BE-VLG","Flandres","BE","present","2005-03-24","http://dataset.inbo.be/alien-macro-invertebrates-flanders-occurrences"
