"taxonID","isMarine","isFreshwater","isTerrestrial"
"alien-macroinvertebrates-checklist:taxon:c1fb49c5a5db07379fbee670706c39f7","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:c85e7a3a9882c02b8c484c9d674d8a18","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:cab81fa3e1a46a4562e219a0e4977d83","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:cb35e00d077b73db575801f04275e8af","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:cebedf4407f487b424807ccd5478bfe6","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:d30825c114838fe344aaf93e75d6d5bd","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:d9c2fd07436f56f3824955c88261e76e","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:db1c88330fce94a3483451f1e0fbc6af","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:e0ca4b984209f1276cc9c9d9ed8d1c2a","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:e290ce86d71a55d91f917e211570869d","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:e9666c346f1d57a5c70f3565b265c7a6","TRUE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:ea39ba23a29363410ea753eef1267d49","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:eb7cf63db2db96cfdd726bbdb2a58589","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:f1933aee12b03522f0612248bed94089","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:f2239006490388724956837aebca1507","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:f5b987f1e2bb2297e53f246b5313075e","TRUE","FALSE","FALSE"
"alien-macroinvertebrates-checklist:taxon:f6054e6c8735fdf9bd1ff1e9fba70961","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:f819de76c438275936f0bc283d53056a","FALSE","TRUE","FALSE"
"alien-macroinvertebrates-checklist:taxon:f9953a68ec0b35fb531b3d1917df59c7","TRUE","FALSE","FALSE"
