taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,source
alien-macroinvertebrates-checklist:taxon:48735233e21ae4254b0691f8eef543c2,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1899/2016,Loppens K (1902) Petricola pholadiformis L. Annales de la Société Royale Zoologique et Malacologique de Belgique 37: 41–42
alien-macroinvertebrates-checklist:taxon:4e75374d4157cc047fea212a1f0774c7,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1869/2016,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
alien-macroinvertebrates-checklist:taxon:54cca150e1e0b7c0b3f5b152ae64d62b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1895/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:561d4e5573f8471fb2a071995dec3d52,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1999/2016,"Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81"
alien-macroinvertebrates-checklist:taxon:563893a5246109760d8b15c5692dab7f,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1933/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:5a7d3a2d0f5058bef64c0e463c16f835,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2002/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
alien-macroinvertebrates-checklist:taxon:5f77a478af2f3845a6ed9eae16cf63d3,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1992/2016,"Wouters K (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium. Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie 72: 119–129"
alien-macroinvertebrates-checklist:taxon:64a2cbc71721e7abf43b95f5c312419b,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1990/2016,"Vercauteren T, Sablon S, Wouters K (2006) Exotische ongewervelden in vijvers en grachten van het Provinciaal Groendomein ‘Prinsenpark’. In: Retie: een eerste bilan. In: Nieuwborg H, Rijvers T (eds), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2004–2005, pp 27–39"
alien-macroinvertebrates-checklist:taxon:64adea5e00ac03a99d28288ebc0e52dd,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2003/2016,"Boets P, Lock K, Goethals PLM (2010b) First record of Synurella ambulans (Müller 1846) (Amphipoda: Crangonictidae) in Belgium. Belgian Journal of Zoology 140: 244–245"
alien-macroinvertebrates-checklist:taxon:67189cebf64e76770c12395f500dd57d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2009/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
alien-macroinvertebrates-checklist:taxon:6843328975affdc8b983f211bb60e6a4,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1834/2016,"Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
alien-macroinvertebrates-checklist:taxon:73f271d93128a4e566e841ea6e3abff0,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1937/2016,"Van Goethem JL, Sablon R (1986) Ferrissia wautieri (Mirolli, 1960), a freshwater limpet new to Belgium (Mollusca, Gastropoda, Ancylidae). Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen: Biologie 56:155–157"
alien-macroinvertebrates-checklist:taxon:76f65e67aff98533cbd14c990787b579,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2008/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
