"taxonID","description","type","source","language"
"alien-macroinvertebrates:taxon:f2239006490388724956837aebca1507","Northern America","native range","Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, http://dx.doi.org/10.3391/ai.2007.2.3.9","en"
"alien-macroinvertebrates:taxon:f2239006490388724956837aebca1507","cbd_2014_pathway:stowaway_hull_fouling","pathway","Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, http://dx.doi.org/10.3391/ai.2007.2.3.9","en"
"alien-macroinvertebrates:taxon:f2239006490388724956837aebca1507","cbd_2014_pathway:stowaway_ballast_water","pathway","Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, http://dx.doi.org/10.3391/ai.2007.2.3.9","en"
"alien-macroinvertebrates:taxon:f2239006490388724956837aebca1507","cbd_2014_pathway:contaminant_on_animals","pathway","Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, http://dx.doi.org/10.3391/ai.2007.2.3.9","en"
"alien-macroinvertebrates:taxon:f2239006490388724956837aebca1507","marine","habitat","Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, http://dx.doi.org/10.3391/ai.2007.2.3.9","en"
"alien-macroinvertebrates:taxon:f5b987f1e2bb2297e53f246b5313075e","Northern America","native range","Kerckhof F, Dumoulin E (1987) Eerste vondsten van de Amerikaanse zwaardschede Ensis directus (Conrad, 1843) langs de Belgische kust. De Strandvlo 7: 51–52 ","en"
"alien-macroinvertebrates:taxon:f5b987f1e2bb2297e53f246b5313075e","cbd_2014_pathway:stowaway_ballast_water","pathway","Kerckhof F, Dumoulin E (1987) Eerste vondsten van de Amerikaanse zwaardschede Ensis directus (Conrad, 1843) langs de Belgische kust. De Strandvlo 7: 51–52 ","en"
"alien-macroinvertebrates:taxon:f5b987f1e2bb2297e53f246b5313075e","cbd_2014_pathway:stowaway_other","pathway","Kerckhof F, Dumoulin E (1987) Eerste vondsten van de Amerikaanse zwaardschede Ensis directus (Conrad, 1843) langs de Belgische kust. De Strandvlo 7: 51–52 ","en"
"alien-macroinvertebrates:taxon:f5b987f1e2bb2297e53f246b5313075e","marine","habitat","Kerckhof F, Dumoulin E (1987) Eerste vondsten van de Amerikaanse zwaardschede Ensis directus (Conrad, 1843) langs de Belgische kust. De Strandvlo 7: 51–52 ","en"
"alien-macroinvertebrates:taxon:f6054e6c8735fdf9bd1ff1e9fba70961","Northern America","native range","Nyst HJP (1835) Mollusques. Bulletin des Academies Royal des Sciences Lettres et Beaux Arts 2: 235–236 | Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp","en"
